
Integration time [ms]:  32,000
Averaging Nr. [scans]: 5
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804343U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
320,976;   23,800;   23,800;    0,000
320,994;  -12,600;   -6,200;    0,000
321,013;    6,800;    1,400;    0,000
321,032;    2,800;   19,000;    0,000
321,051;   22,200;   32,000;    0,000
321,070;   24,000;   47,000;    0,000
321,089;   33,800;    8,400;    0,000
321,108;  -17,800;    6,800;    0,000
321,126;   23,800;   -8,000;    0,000
321,145;   24,000;  -39,200;    0,000
321,164;   -2,200;   16,800;    0,000
321,183;  -25,000;   -8,800;    0,000
321,202;   37,000;    1,800;    0,000
321,221;  -14,800;   -3,400;    0,000
321,239;   44,800;    5,800;    0,000
321,258;    2,800;    9,600;    0,000
321,277;   27,800;   11,200;    0,000
321,296;   15,800;    1,400;    0,000
321,315;   35,600;   20,800;    0,000
321,333;    4,400;  -20,800;    0,000
321,352;  -12,400;    8,200;    0,000
321,371;  -46,400;    9,600;    0,000
321,390;   28,000;    4,400;    0,000
321,409;   16,400;   35,600;    0,000
321,427;   43,400;   19,200;    0,000
321,446;  -40,400;   17,400;    0,000
321,465;   55,000;   37,400;    0,000
321,484;  -41,000;  -17,800;    0,000
321,503;   46,000;   31,400;    0,000
321,521;    1,400;   23,400;    0,000
321,540;   44,400;    9,400;    0,000
321,559;  -21,600;  -31,000;    0,000
321,578;   -3,000;    2,000;    0,000
321,597;  -14,600;   -8,200;    0,000
321,615;    3,600;   27,400;    0,000
321,634;   17,600;    4,800;    0,000
321,653;   12,000;   40,200;    0,000
321,672;   16,000;    8,400;    0,000
321,690;   -6,000;   15,400;    0,000
321,709;   12,800;  -36,600;    0,000
321,728;   17,400;  -22,400;    0,000
321,747;  -20,400;    8,200;    0,000
321,765;   34,400;   -1,600;    0,000
321,784;  -10,600;    5,400;    0,000
321,803;   14,600;   17,600;    0,000
321,822;    8,600;   16,000;    0,000
321,840;   38,000;   19,200;    0,000
321,859;   -7,000;  -12,000;    0,000
321,878;   21,200;   11,400;    0,000
321,897;    9,000;   21,600;    0,000
321,915;   25,800;   14,000;    0,000
321,934;   34,200;   17,400;    0,000
321,953;   42,400;   -5,200;    0,000
321,972;   -6,200;   -4,200;    0,000
321,990;   71,000;   17,000;    0,000
322,009;    1,600;  -21,400;    0,000
322,028;   10,600;   50,000;    0,000
322,046;  -10,800;  -15,800;    0,000
322,065;   46,400;   -5,200;    0,000
322,084;   -3,400;   -1,600;    0,000
322,103;  -13,400;   18,200;    0,000
322,121;   12,200;   23,800;    0,000
322,140;    8,000;   12,400;    0,000
322,159;   11,800;   30,200;    0,000
322,177;   23,400;   33,400;    0,000
322,196;    6,600;  -14,800;    0,000
322,215;   25,200;   31,000;    0,000
322,234;    4,000;    9,800;    0,000
322,252;   45,200;  -11,800;    0,000
322,271;   -9,000;   34,200;    0,000
322,290;   70,800;   31,400;    0,000
322,308;   -3,200;    9,800;    0,000
322,327;   46,600;   12,800;    0,000
322,346;   18,400;  -19,400;    0,000
