
Integration time [ms]:   5,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804344U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
321,305;  107,192;   54,316;    0,000
321,472;  102,449;   13,207;    0,000
321,640;   95,932;   29,562;    0,000
321,807;  119,300;   54,608;    0,000
321,975;  114,407;   35,424;    0,000
322,142;  132,400;   20,616;    0,000
322,309;  133,884;   47,231;    0,000
322,477;  164,524;   24,570;    0,000
322,644;  159,404;   57,862;    0,000
322,811;  145,989;   15,654;    0,000
322,979;  146,536;   61,216;    0,000
323,146;  144,329;   13,092;    0,000
323,313;  139,519;   16,838;    0,000
323,480;  198,312;   59,239;    0,000
323,648;  190,574;   13,962;    0,000
323,815;  208,433;   29,246;    0,000
323,982;  240,140;   72,463;    0,000
324,150;  300,636;   46,508;    0,000
324,317;  335,856;   66,540;    0,000
324,484;  377,664;   34,116;    0,000
324,651;  456,986;   41,608;    0,000
324,819;  538,820;   46,115;    0,000
324,986;  631,047;   61,254;    0,000
325,153;  722,116;   16,277;    0,000
325,320;  928,266;   79,993;    0,000
325,488; 1175,820;    1,323;    0,000
325,655; 1555,083;    7,047;    0,000
325,822; 2261,586;   16,392;    0,000
325,989; 3694,871;   38,024;    0,000
326,157; 6221,871;   27,208;    0,000
326,324;10254,565;   54,201;    0,000
326,491;16965,295;   40,977;    0,000
326,658;46773,523;   82,062;    0,000
326,825;65084,340;   31,462;    0,000
326,993;65079,203;   96,385;    0,000
327,160;65084,477;   67,407;    0,000
327,327;65079,160;   64,670;    0,000
327,494;65084,320;   53,331;    0,000
327,661;65079,180;   55,485;    0,000
327,828;65084,273;   46,777;    0,000
327,996;59426,480;   51,508;    0,000
328,163;65084,324;   38,270;    0,000
328,330;  882,836;   42,316;    0,000
328,497;16095,548;   52,839;    0,000
328,664;  504,834;   37,231;    0,000
328,831;  581,105;    8,623;    0,000
328,998;  338,691;   31,231;    0,000
329,165;  369,019;   10,438;    0,000
329,333;  240,355;   44,139;    0,000
329,500;  259,177;   19,431;    0,000
329,667;  203,504;   58,147;    0,000
329,834;  251,194;   25,285;    0,000
330,001;  182,431;   49,470;    0,000
330,168;  182,447;   42,862;    0,000
330,335;  129,661;   26,962;    0,000
330,502;  177,617;   15,861;    0,000
330,669;  129,265;   69,008;    0,000
330,836;  131,348;    2,039;    0,000
331,003;  118,037;   35,393;    0,000
331,170;   94,735;   65,531;    0,000
331,337;   97,674;   32,477;    0,000
331,504;  109,467;   39,970;    0,000
331,671;   87,224;   35,470;    0,000
331,839;  101,284;   29,631;    0,000
332,006;  106,817;   71,185;    0,000
332,173;  121,085;    6,715;    0,000
332,340;   81,430;   56,301;    0,000
332,507;   73,654;   12,938;    0,000
332,674;   83,689;   36,962;    0,000
332,840;   83,216;   27,177;    0,000
333,007;   82,942;   43,423;    0,000
333,174;   76,920;   12,323;    0,000
333,341;   53,459;   48,293;    0,000
333,508;   94,761;   26,454;    0,000
333,675;   68,830;   32,993;    0,000
333,842;   90,789;   38,470;    0,000
334,009;  101,084;   43,431;    0,000
334,176;   78,407;   36,700;    0,000
334,343;   48,878;   29,716;    0,000
334,510;   86,843;   13,708;    0,000
334,677;   64,927;   63,239;    0,000
334,844;   48,882;   66,370;    0,000
335,011;   70,116;   31,977;    0,000
335,178;   88,689;   40,762;    0,000
335,345;   49,148;   23,339;    0,000
335,511;   31,022;   20,000;    0,000
335,678;   36,943;   44,708;    0,000
335,845;   68,983;   69,354;    0,000
336,012;   58,929;   83,317;    0,000
336,179;   39,220;   23,031;    0,000
336,346;   52,064;   36,616;    0,000
336,513;   48,631;   28,277;    0,000
336,680;   76,245;   60,685;    0,000
336,846;   95,227;   30,223;    0,000
337,013;   60,210;   47,778;    0,000
337,180;   43,780;   64,185;    0,000
337,347;   32,939;   60,870;    0,000
337,514;   69,602;   -4,623;    0,000
337,681;   79,594;   41,609;    0,000
337,847;   58,773;   17,785;    0,000
338,014;   68,784;   43,739;    0,000
338,181;   73,186;   22,692;    0,000
338,348;   50,562;   43,139;    0,000
338,515;   75,735;   60,224;    0,000
338,681;   51,410;   37,362;    0,000
338,848;   93,324;   44,477;    0,000
339,015;   71,251;   57,001;    0,000
339,182;   86,066;   53,193;    0,000
339,348;   99,281;   50,977;    0,000
339,515;  104,546;   18,462;    0,000
339,682;  115,270;   21,023;    0,000
339,849;  119,420;   14,923;    0,000
340,015;  170,367;   61,278;    0,000
340,182;  238,772;   41,192;    0,000
340,349;  341,995;   30,685;    0,000
340,516;  547,986;   59,700;    0,000
340,682; 1006,855;   34,839;    0,000
340,849; 2529,334;   35,131;    0,000
341,016; 7761,270;   22,231;    0,000
341,182;16014,428;   64,923;    0,000
