
Integration time [ms]:   1,150
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804343U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
320,938;  -25,000;  -53,000;    0,000
320,957;  -17,000;  101,000;    0,000
320,976;   22,000;  -62,000;    0,000
320,994;   18,000;   78,000;    0,000
321,013;   10,000;    1,000;    0,000
321,032;   -4,000;    9,000;    0,000
321,051;    1,000;  -23,000;    0,000
321,070;   47,000;   28,000;    0,000
321,089;  -30,000;   21,000;    0,000
321,108;    9,000;   30,000;    0,000
321,126;  -65,000;    9,000;    0,000
321,145;   31,000;   -2,000;    0,000
321,164;  -17,000;  -58,000;    0,000
321,183;  -53,000;  -12,000;    0,000
321,202;  -62,000;   87,000;    0,000
321,221;  -52,000;   36,000;    0,000
321,239;   33,000;  -41,000;    0,000
321,258;  -22,000;   32,000;    0,000
321,277;   45,000;   24,000;    0,000
321,296;  -29,000;   -3,000;    0,000
321,315;  -45,000;   26,000;    0,000
321,333;   -3,000;  105,000;    0,000
321,352;   -2,000;  -38,000;    0,000
321,371;  -35,000;   27,000;    0,000
321,390;  -29,000;  -11,000;    0,000
321,409;  -24,000;   70,000;    0,000
321,427;    6,000;   41,000;    0,000
321,446;   15,000;  -24,000;    0,000
321,465;   40,000;   58,000;    0,000
321,484;    4,000;   54,000;    0,000
321,503;   49,000;  -39,000;    0,000
321,521;   21,000;  100,000;    0,000
321,540;   43,000;  -28,000;    0,000
321,559;   16,000;   72,000;    0,000
321,578;   29,000;  101,000;    0,000
321,597;  -39,000;   46,000;    0,000
321,615;  -26,000;    8,000;    0,000
321,634;  -22,000;   25,000;    0,000
321,653;  -35,000;    6,000;    0,000
321,672;   17,000;  124,000;    0,000
321,690;  -42,000;  -71,000;    0,000
321,709;  -37,000;    1,000;    0,000
321,728;  -26,000;  -13,000;    0,000
321,747;   45,000; -106,000;    0,000
321,765;   -6,000;    2,000;    0,000
321,784;  -21,000;   42,000;    0,000
321,803;  -51,000;   37,000;    0,000
321,822;  -81,000;   23,000;    0,000
321,840;   16,000;   -5,000;    0,000
321,859;   -3,000;  -34,000;    0,000
321,878;   -9,000;  -39,000;    0,000
321,897;  -57,000;   32,000;    0,000
321,915;  -15,000;   12,000;    0,000
321,934;   -4,000;   21,000;    0,000
321,953;   12,000;   39,000;    0,000
321,972;   36,000;   34,000;    0,000
321,990;  -41,000;  -32,000;    0,000
322,009;  -17,000;  -55,000;    0,000
322,028;    9,000;   17,000;    0,000
322,046;  -50,000;   27,000;    0,000
322,065;   -5,000;    9,000;    0,000
322,084;  -70,000;  -37,000;    0,000
322,103;   -1,000;   -7,000;    0,000
322,121;   23,000;   40,000;    0,000
322,140;  -36,000;  -22,000;    0,000
322,159;   58,000;   24,000;    0,000
322,177;   10,000;   -6,000;    0,000
322,196;  -16,000;   66,000;    0,000
322,215;  -17,000;  -26,000;    0,000
322,234;  -52,000;   54,000;    0,000
322,252;   24,000;   36,000;    0,000
322,271;  -59,000;   24,000;    0,000
322,290;   51,000;   59,000;    0,000
322,308;   10,000;   60,000;    0,000
322,327;  -61,000;   55,000;    0,000
322,346;   62,000;   -1,000;    0,000
322,364;  -36,000;   38,000;    0,000
322,383;   20,000;   13,000;    0,000
322,402;  -52,000;   20,000;    0,000
322,420;  -34,000;   17,000;    0,000
322,439;   22,000;  -58,000;    0,000
322,458;  -12,000;   48,000;    0,000
322,476;   23,000;  -59,000;    0,000
