
Integration time [ms]:   1,150
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804344U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

294,453;   -3,900;   14,816;    0,000
294,621;    4,000;    0,525;    0,000
294,790;   14,800;   28,947;    0,000
294,958;   31,800;    8,292;    0,000
295,126;   20,300;   -4,561;    0,000
295,294;    3,000;  -25,704;    0,000
295,463;   13,800;    4,394;    0,000
295,631;   -8,800;   -3,339;    0,000
295,799;   -3,700;   25,867;    0,000
295,967;  -23,600;   -4,091;    0,000
296,135;   -3,500;    7,763;    0,000
296,304;    2,500;   34,548;    0,000
296,472;   24,500;   -7,581;    0,000
296,640;   -2,500;    1,423;    0,000
296,808;   15,900;   -6,125;    0,000
296,976;   17,100;  -18,398;    0,000
297,145;    8,400;   15,247;    0,000
297,313;   14,700;  -17,313;    0,000
297,481;    4,600;   12,880;    0,000
297,649;    6,400;   15,912;    0,000
297,817;    4,500;   21,118;    0,000
297,985;   -5,600;   -0,018;    0,000
298,154;   12,000;   11,506;    0,000
298,322;   17,000;    2,340;    0,000
298,490;   -4,800;   24,503;    0,000
298,658;   10,200;   -5,925;    0,000
298,826;   30,500;  -11,004;    0,000
298,994;   -6,500;   15,787;    0,000
299,162;    9,400;    3,633;    0,000
299,331;    6,800;  -20,390;    0,000
299,499;    9,300;   -1,739;    0,000
299,667;    5,700;  -15,473;    0,000
299,835;    6,500;   -2,537;    0,000
300,003;    1,100;   -2,689;    0,000
300,171;   11,300;    8,258;    0,000
300,339;   14,500;  -15,695;    0,000
300,507;   15,800;    7,242;    0,000
300,675;   -0,100;    5,048;    0,000
300,843;   -6,300;   -0,163;    0,000
301,011;    8,500;   -3,699;    0,000
301,179;   -8,300;   14,070;    0,000
301,347;  -18,500;    0,350;    0,000
301,515;    5,000;   10,744;    0,000
301,684;  -13,100;  -11,486;    0,000
301,852;   26,800;    2,903;    0,000
302,020;    3,000;   20,475;    0,000
302,188;    8,200;    6,796;    0,000
302,356;   25,500;  -20,469;    0,000
302,524;  -16,100;    8,259;    0,000
302,692;    6,800;    8,683;    0,000
302,860;   31,000;   31,950;    0,000
303,028;    2,400;   -8,954;    0,000
303,196;   30,000;   14,838;    0,000
303,364;  -11,000;  -18,073;    0,000
303,531;   28,900;    6,558;    0,000
303,699;  -11,900;   -7,016;    0,000
303,867;   16,800;  -22,836;    0,000
304,035;    2,300;    6,237;    0,000
304,203;    8,100;   30,649;    0,000
304,371;   -8,100;   -1,488;    0,000
304,539;   29,000;   23,799;    0,000
304,707;    3,800;    1,896;    0,000
304,875;   -1,800;   13,339;    0,000
305,043;   21,100;   -0,152;    0,000
305,211;    3,700;    8,363;    0,000
305,379;   -0,500;   -2,686;    0,000
305,547;    2,900;  -10,254;    0,000
305,715;   19,100;    7,037;    0,000
305,883;   -3,100;   19,335;    0,000
306,050;    6,800;    3,873;    0,000
306,218;    8,100;    6,439;    0,000
306,386;   -3,300;   -7,385;    0,000
306,554;    0,700;   -0,081;    0,000
306,722;   20,800;   14,149;    0,000
306,890;  -20,800;    3,897;    0,000
307,058;  -21,500;   -9,886;    0,000
307,226;   17,900;    4,893;    0,000
307,393;  -15,800;    7,756;    0,000
307,561;   19,200;    8,160;    0,000
307,729;    0,900;  -15,326;    0,000
307,897;   17,200;   13,461;    0,000
308,065;   -6,000;   19,314;    0,000
308,233;    4,100;   -1,355;    0,000
308,400;  -10,800;    5,834;    0,000
308,568;    0,700;  -15,508;    0,000
308,736;   18,200;   -1,674;    0,000
308,904;   -0,500;    8,453;    0,000
309,072;    3,200;   -8,269;    0,000
309,239;   21,200;   14,132;    0,000
309,407;    8,900;   12,172;    0,000
309,575;   12,200;   21,790;    0,000
309,743;    6,600;   21,283;    0,000
309,910;   -8,600;   10,974;    0,000
310,078;   -6,100;   24,859;    0,000
310,246;    4,100;   10,051;    0,000
310,414;   -1,400;   -5,915;    0,000
310,581;   18,700;  -11,142;    0,000
310,749;   -0,100;   14,451;    0,000
310,917;   12,100;   -4,776;    0,000
311,085;   11,700;    0,685;    0,000
311,252;   30,100;   12,248;    0,000
311,420;   -3,500;  -19,559;    0,000
311,588;  -13,800;    5,229;    0,000
311,755;   -1,500;   14,286;    0,000
311,923;    3,400;   -5,455;    0,000
312,091;   13,300;   22,590;    0,000
312,258;   20,900;  -10,609;    0,000
312,426;   21,000;   14,414;    0,000
312,594;   14,500;    0,367;    0,000
312,762;    4,200;    7,979;    0,000
312,929;    4,000;    6,570;    0,000
313,097;  -22,500;    5,199;    0,000
313,264;    8,400;    5,938;    0,000
313,432;    1,500;   -0,799;    0,000
313,600;    2,300;   -4,409;    0,000
313,767;   24,600;    6,542;    0,000
313,935;   33,700;   19,691;    0,000
314,103;   -0,300;   11,791;    0,000
314,270;   16,200;   -4,767;    0,000
314,438;  -17,500;   28,961;    0,000
314,605;   22,300;   -2,002;    0,000
314,773;   12,700;   -9,625;    0,000
314,941;   13,800;   32,076;    0,000
315,108;  -22,300;    3,381;    0,000
315,276;   18,500;   15,036;    0,000
315,443;   18,700;   -1,974;    0,000
315,611;   -5,700;   18,041;    0,000
315,779;   -0,600;   -0,725;    0,000
315,946;   27,200;   14,266;    0,000
316,114;    9,100;   15,351;    0,000
316,281;   -5,600;    4,677;    0,000
316,449;    2,000;    8,721;    0,000
316,616;   24,400;   -6,339;    0,000
316,784;  -20,500;   -3,873;    0,000
316,951;   12,200;    5,732;    0,000
317,119;   14,600;    1,412;    0,000
317,286;   -3,400;   -9,365;    0,000
317,454;   39,100;    7,685;    0,000
317,621;   20,000;    9,156;    0,000
317,789;   -2,300;   -7,009;    0,000
317,956;    2,200;   11,521;    0,000
318,124;   13,500;   -6,538;    0,000
318,291;    8,000;    3,138;    0,000
318,459;  -12,200;   11,651;    0,000
318,626;   25,700;    1,484;    0,000
318,794;   11,700;   -3,619;    0,000
318,961;   25,000;  -20,655;    0,000
319,129;   12,600;  -16,068;    0,000
319,296;   21,200;  -20,189;    0,000
319,464;   13,400;   -3,127;    0,000
319,631;    4,900;  -12,463;    0,000
319,798;    3,500;  -11,559;    0,000
319,966;   -4,800;   -4,551;    0,000
320,133;    0,900;  -18,490;    0,000
320,301;   -9,900;   28,412;    0,000
320,468;    8,000;   -3,663;    0,000
320,636;   17,000;   -0,097;    0,000
320,803;   -1,500;   19,033;    0,000
320,970;    7,700;    3,289;    0,000
321,138;   -1,600;  -18,679;    0,000
